dia	fornecedor	valor_mensal	ocorrencias	como_gerar	categoria	observacao
3	BANCO DLL BRASIL S/A 27/36	1256.56	MENSAL	GERAR AS PARCELAS 28 ATE 36 APARTIR DE SETEMBRO/2026	EMPRÉSTIMOS DE BANCOS DLL CTR 699177	Despesas semi-fixas
24	BANCO DLL BRASIL S/A 28/36	4463.76	MENSAL	GERAR AS PARCELAS 29 ATE 36 APARTIR DE SETEMBRO/2026	EMPRÉSTIMOS DE BANCOS DLL CTR 699177	Despesas semi-fixas
31	BANCO DLL BRASIL S/A 39/78	52962.41	MENSAL	GERAR AS PARCELAS 40 ATE 78 APARTIR DE SETEMBRO/2026	EMPRÉSTIMOS DE BANCOS DLL CTR 699177	Despesas semi-fixas
31	BANCO DLL BRASIL S/A 41/78	16375.33	MENSAL	GERAR AS PARCELAS 42 ATE 78 APARTIR DE SETEMBRO/2026	EMPRÉSTIMOS DE BANCOS DLL CTR 699177	Despesas semi-fixas
